Site,Code,Dataset,Country,State,County,AQSCode,Latitude,Longitude,Elevation,StartDate,EndDate,DemographicCode,LandUseCode,StreetAddress,LocDesc,Sponsor,ProgramKey,NumPOCs
"Bandelier NM","BAND1","IMPAER","US","NM","35028","350281002",35.77970,-106.26640,1988,"03/02/1988","10/30/2023","-999","Unknown","-999","Fire Tower near VC","NPS","IMPROVE",1
"Barrier Lake","BALA1","IMPAER","CA","AB","-999","-999",51.02900,-115.03360,1391,"01/15/2011","03/29/2017","-999","-999","-999","-999","Environment Canada","IMPROVE",1
"Big Bend NP","BIBE1","IMPAER","US","TX","48043","480430101",29.30270,-103.17800,1066,"03/02/1988","10/30/2023","-999","Unknown","-999","3 miles SE of Panther Junction, at water well","NPS","IMPROVE",2
"Blue Mounds","BLMO1","IMPAER","US","MN","27133","271339000",43.71580,-96.19130,473,"06/01/2002","12/29/2015","-999","Unknown","-999","-999","STATE","IMPROVE",2
"Bondville","BOND1","IMPAER","US","IL","17019","170191001",40.05200,-88.37330,263,"03/08/2001","10/30/2023","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Bosque del Apache","BOAP1","IMPAER","US","NM","35053","350539000",33.86950,-106.85200,1389,"04/15/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Boulder Lake","BOLA1","IMPAER","US","WY","56035","-999",42.84648,-109.63973,2296,"08/26/2009","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Boundary Waters Canoe Area","BOWA1","IMPAER","US","MN","27075","270759000",47.94660,-91.49550,526,"06/01/1991","10/30/2023","-999","Unknown","-999","NADP Site, 20 mi ENE of  Ely, MN","USFS","IMPROVE",1
"Breton","BRET1","IMPAER","US","LA","22075","220759000",29.11890,-89.20660,11,"08/16/2000","08/29/2005","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Breton Island","BRIS1","IMPAER","US","LA","22075","220759000",30.10863,-89.76168,-7,"01/16/2008","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",2
"Bridger Wilderness","BRID1","IMPAER","US","WY","56035","560359000",42.97490,-109.75790,2626,"03/02/1988","10/30/2023","-999","Unknown","-999","White Pine ski area 10 miles E of Pinedale, WY, near Fremont Lake","USFS","IMPROVE",1
"Bridgton","BRMA1","IMPAER","US","ME","23005","230050103",44.10740,-70.72920,233,"03/14/2001","12/29/2015","-999","Unknown","-999","Bridgton, ME","STATE","IMPROVE",1
"Brigantine NWR","BRIG1","IMPAER","US","NJ","34001","340019000",39.46500,-74.44920,5,"09/04/1991","10/30/2023","-999","Unknown","-999","Edwin D. Forsythe NWR Headquarters, Oceanville, NJ","FWS","IMPROVE",1
"Brooklyn Lake","BRLA1","IMPAER","US","WY","56001","560019000",41.36620,-106.24180,3196,"07/31/1993","01/31/2004","-999","Unknown","-999","Snowy Range, 15 miles NW of Centennial, WY, at Brooklyn Lake","-999","IMPROVE",1
"Bryce Canyon NP","BRCA1","IMPAER","US","UT","49017","490170101",37.61840,-112.17360,2481,"03/02/1988","10/30/2023","-999","Unknown","-999","2.5 miles S of VC at water tanks, near Sunset Point","NPS","IMPROVE",1
"Cabinet Mountains","CABI1","IMPAER","US","MT","30089","300899000",47.95490,-115.67090,1441,"07/26/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Cadiz","CADI1","IMPAER","US","KY","21221","212219000",36.78420,-87.85010,191,"03/08/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Caney Creek","CACR1","IMPAER","US","AR","05113","051130003",34.45440,-94.14290,683,"06/24/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Canyonlands NP","CANY1","IMPAER","US","UT","49037","490379000",38.45870,-109.82100,1798,"03/02/1988","10/30/2023","-999","Unknown","-999","Island in the Sky VC","NPS","IMPROVE",1
"Cape Cod","CACO1","IMPAER","US","MA","25001","250010002",41.97580,-70.02420,49,"04/04/2001","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Cape Romain NWR","ROMA1","IMPAER","US","SC","45019","450190046",32.94100,-79.65720,4,"09/03/1994","10/30/2023","-999","Unknown","-999","Moores Landing, Cape Romain NWR, SC , Refuge maintenance area","FWS","IMPROVE",1
"Capitol Reef NP","CAPI1","IMPAER","US","UT","49055","490559000",38.30220,-111.29260,1896,"04/19/2000","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",1
"Carlsbad Caverns","CAVE1","IMPAER","US","NM","35015","-999",32.17830,-104.44376,1355,"07/30/2017","10/30/2023","-999","-999","-999","-999","NPS","IMPROVE",1
"Casco Bay","CABA1","IMPAER","US","ME","23005","230059002",43.83250,-70.06440,26,"03/14/2001","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Cedar Bluff","CEBL1","IMPAER","US","KS","20195","201950001",38.77010,-99.76340,665,"06/01/2002","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Chassahowitzka NWR","CHAS1","IMPAER","US","FL","12017","120179000",28.74840,-82.55490,4,"03/03/1993","10/30/2023","-999","Unknown","-999","Maintenance Facility, 4 mi S of Homossassa Springs, FL, 1/4 mile West of the Chassahowitzka NWR Maintenance Facility","FWS","IMPROVE",1
"Cherokee Nation","CHER1","IMPAER","US","OK","40071","400719010",36.95620,-97.03130,342,"09/02/2002","04/20/2010","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Chicago","CHIC1","IMPAER","US","IL","17031","170310076",41.75140,-87.71350,194,"09/03/2003","08/29/2005","-999","-999","-999","-999","STN","IMPROVE",1
"Chiricahua NM","CHIR1","IMPAER","US","AZ","04003","040038001",32.00940,-109.38900,1554,"03/02/1988","10/30/2023","-999","Unknown","-999","Entrance Station","NPS","IMPROVE",1
"Cloud Peak","CLPE1","IMPAER","US","WY","56019","560199000",44.33350,-106.95650,2470,"06/01/2002","07/29/2015","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Cohutta","COHU1","IMPAER","US","GA","13213","132139000",34.78520,-84.62650,735,"06/03/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Columbia Gorge #1","COGO1","IMPAER","US","WA","53039","530390010",45.56926,-122.21029,230,"09/18/1996","10/30/2011","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Columbia River Gorge","CORI1","IMPAER","US","WA","53039","530390011",45.66440,-121.00080,178,"06/02/1993","10/30/2023","-999","Unknown","-999","Rt. turn off west, SR-14  0.7 miles west of Wishram, WA., 1.5 miles NW of Wilsham, WA","USFS","IMPROVE",1
"Connecticut Hill","COHI1","IMPAER","US","NY","36109","361099000",42.40090,-76.65340,519,"04/04/2001","06/25/2006","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Crater Lake NP","CRLA1","IMPAER","US","OR","41035","410358001",42.89580,-122.13610,1996,"03/02/1988","10/30/2023","-999","Unknown","-999","Park Headquarters, maintenance area","NPS","IMPROVE",1
"Craters of the Moon NM","CRMO1","IMPAER","US","ID","16023","160230101",43.46050,-113.55510,1817,"03/04/1992","10/30/2023","-999","Unknown","-999","Behind  Visitors Center","NPS","IMPROVE",1
"Crescent Lake","CRES1","IMPAER","US","NE","31069","310699000",41.76270,-102.43360,1207,"06/01/2002","12/29/2015","-999","-999","-999","-999","STATE","IMPROVE",1
"D.L. Bliss State Park","BLIS1","IMPAER","US","CA","06017","060179000",38.97610,-120.10250,2130,"09/01/1990","12/29/2020","-999","Unknown","-999","Above SW shore of Lake Tahoe, CA,1/4 mile beyond headquarters on the service road","USFS","IMPROVE",1
"D.L. Bliss State Park","BLIS2","IMPAER","US","CA","06017","060179002",38.97610,-120.10250,2130,"01/01/2021","10/30/2023","-999","Unknown","-999","Above SW shore of Lake Tahoe, CA,1/4 mile beyond headquarters on the service road","USFS","IMPROVE",1
"Death Valley NP","DEVA1","IMPAER","US","CA","06027","060270101",36.50890,-116.84780,130,"09/04/1993","04/28/2013","-999","Unknown","-999","Furnace Creek, Air quality trailer at Nevares Spring Water Tank","NPS","IMPROVE",1
"Denali NP","DENA1","IMPAER","US","AK","02068","020680003",63.72330,-148.96750,658,"03/02/1988","10/30/2023","-999","Unknown","-999","Park Headquarters near water tank","NPS","IMPROVE",1
"Detroit","DETR1","IMPAER","US","MI","26163","261630001",42.22860,-83.20850,179,"09/03/2003","10/30/2023","-999","-999","-999","-999","STN","IMPROVE",1
"Dinosaur NM","DINO1","IMPAER","US","CO","08081","-999",40.25000,-108.96700,1829,"11/01/2018","10/30/2023","-999","Unknown","P.O. Box 210, CO 81610","100 yds. N of headquarters building","-999","SFU",1
"Dolly Sods Wilderness","DOSO1","IMPAER","US","WV","54093","540939000",39.10530,-79.42610,1182,"09/04/1991","10/30/2023","-999","Unknown","-999","Bearden Knob, 3 mi SE of Davis, WV","USFS","IMPROVE",1
"Dome Lands Wilderness","DOLA1","IMPAER","US","CA","06029","060299902",35.69870,-118.20210,914,"06/01/1994","12/29/1999","-999","Unknown","-999","Between Onyx, CA and Walker Pass","-999","IMPROVE",1
"Dome Lands Wilderness","DOME1","IMPAER","US","CA","06029","060299001",35.72780,-118.13770,927,"02/02/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Douglas","DOUG1","IMPAER","US","AZ","04003","040039000",31.34921,-109.53973,1230,"06/02/2004","10/30/2015","-999","-999","-999","-999","STATE","IMPROVE",1
"Egbert","EGBE1","IMPAER","CA","ON","-999","-999",44.23115,-79.78322,251,"09/01/2005","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"El Dorado Springs","ELDO1","IMPAER","US","MO","29039","290390001",37.70090,-94.03480,297,"03/03/2002","12/29/2015","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Ellis","ELLI1","IMPAER","US","OK","40045","400450890",36.08530,-99.93540,697,"03/03/2002","10/18/2015","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Everglades NP","EVER1","IMPAER","US","FL","12086","120860030",25.39100,-80.68060,1,"09/03/1988","10/30/2023","-999","Unknown","-999","Behind Everglades Research Center","NPS","IMPROVE",2
"Flat Tops","FLTO1","IMPAER","US","CO","08103","-999",39.91530,-107.63450,2593,"10/27/2011","09/28/2021","-999","Unknown","-999","-999","-999","IMPROVE",1
"Flathead","FLAT1","IMPAER","US","MT","30047","300479000",47.77340,-114.26900,1580,"06/01/2002","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Forest County Potawatomi Community","FCPC1","IMPAER","US","WI","55041","550410007",45.56495,-88.80838,564,"11/17/2016","10/30/2023","-999","-999","-999","-999","Native American Tribal Government","IMPROVE",1
"Fort Collins","FOCO1","IMPAER","US","CO","08069","080699002",40.59286,-105.14312,1572,"07/29/2020","10/30/2023","-999","-999","-999","-999","NPS","IMPROVE",1
"Fort Collins (#2)","FOCO2","IMPAER","US","CO","08069","-999",40.59286,-105.14312,1572,"07/30/2020","07/25/2021","-999","-999","-999","-999","NPS","IMPROVE",1
"Fort Peck","FOPE1","IMPAER","US","MT","30085","300859000",48.30800,-105.10220,638,"06/01/2002","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Fresno","FRES1","IMPAER","US","CA","06019","060190008",36.78180,-119.77320,100,"09/03/2004","10/30/2023","-999","-999","3425 N First St.","-999","-999","IMPROVE",1
"Frostburg Reservoir (Big Piney Run)","FRRE1","IMPAER","US","MD","24023","240239000",39.70580,-79.01220,767,"03/01/2004","10/30/2023","-999","-999","-999","-999","STATE","IMPROVE",2
"Gates of the Arctic NP","GAAR1","IMPAER","US","AK","02261","-999",66.90250,-151.51700,196,"11/02/2008","10/30/2015","-999","Unknown","Resource Management, P.O. Box 26030,Bettles, AK 99726","Bettles Radio Tower","-999","SFU",1
"Gates of the Mountains","GAMO1","IMPAER","US","MT","30049","300499000",46.82620,-111.71070,2387,"07/26/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",2
"Gila Wilderness","GICL1","IMPAER","US","NM","35003","350039000",33.22040,-108.23510,1775,"03/02/1994","10/30/2023","-999","Unknown","-999","Above Visitor Center","USFS","IMPROVE",1
"Glacier NP","GLAC1","IMPAER","US","MT","30029","300299001",48.51050,-113.99660,975,"03/02/1988","10/30/2023","-999","Unknown","-999","2 miles NW of park HQ at Apgar stables","NPS","IMPROVE",1
"Great Basin NP","GRBA1","IMPAER","US","NV","32033","320339000",39.00520,-114.21610,2065,"03/04/1992","10/30/2023","-999","Unknown","-999","Residence area 1 mi E of VC, 200 yds south of maintenance area","NPS","IMPROVE",1
"Great Gulf Wilderness","GRGU1","IMPAER","US","NH","33007","330074002",44.30820,-71.21770,453,"06/03/1995","10/30/2023","-999","Unknown","-999","Camp Dodge, White Mt NF, S of Gorham, NH","USFS","IMPROVE",1
"Great River Bluffs","GRRI1","IMPAER","US","MN","27169","271699000",43.93730,-91.40520,370,"06/01/2002","10/30/2023","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Great Sand Dunes NM","GRSA1","IMPAER","US","CO","08003","080039000",37.72490,-105.51850,2498,"03/02/1988","10/30/2023","-999","Unknown","-999","Monument Headquarters","NPS","IMPROVE",1
"Great Smoky Mountains NP","GRSM1","IMPAER","US","TN","47009","470090101",35.63340,-83.94160,810,"03/02/1988","10/30/2023","-999","Unknown","-999","Look Rock, 8 mi S of Maryville, TN","NPS","IMPROVE",1
"Great Smoky Mountains NP (PM10 Speciation)","GRSM9","IMPAER","US","TN","-999","-999",35.63340,-83.94170,815,"01/01/2005","04/28/2005","-999","-999","-999","Look Rock, 8 mi S of Maryville, TN","NPS","IMPROVE",1
"Guadalupe Mountains NP","GUMO1","IMPAER","US","TX","48109","481099000",31.83300,-104.80940,1672,"03/02/1988","10/30/2023","-999","Unknown","-999","10 miles SW of Frijole at FAA site","NPS","IMPROVE",1
"Haleakala Crater","HACR1","IMPAER","US","HI","-999","-999",20.75850,-156.24790,2158,"01/24/2007","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Haleakala NP","HALE1","IMPAER","US","HI","15009","150099000",20.80860,-156.28230,1153,"12/01/1990","05/30/2012","-999","Unknown","-999","Olinda Research facility","NPS","IMPROVE",1
"Hance Camp at Grand Canyon NP","GRCA2","IMPAER","US","AZ","04005","040058102",35.97310,-111.98410,2267,"03/02/1996","10/30/2023","-999","Unknown","-999","200 yds S of East Rim Drive, 1.2 miles S of Grandview Point turnoff","-999","IMPROVE",1
"Hawaii Volcanoes NP","HAVO1","IMPAER","US","HI","15001","150019002",19.43090,-155.25790,1258,"03/02/1988","10/30/2023","-999","Unknown","-999","Behind Craft Center","NPS","IMPROVE",1
"Hells Canyon","HECA1","IMPAER","US","OR","41063","410630002",44.97020,-116.84380,655,"09/03/2000","10/30/2023","-999","Unknown","-999","hilltop W of Oxbow Dam","USFS","IMPROVE",1
"Hercules-Glades","HEGL1","IMPAER","US","MO","29213","292130003",36.61380,-92.92210,404,"03/02/2001","10/30/2023","-999","Unknown","-999","12 mi E of Forsythe, MO","USFS","IMPROVE",2
"Hillside","HILL1","IMPAER","US","AZ","04025","040250005",34.42890,-112.96280,1510,"04/19/2001","05/31/2005","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Hoover","HOOV1","IMPAER","US","CA","06051","060519000",38.08810,-119.17710,2560,"06/06/2001","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",2
"Hopi Point #1","GRCA1","IMPAER","US","AZ","04005","040052002",36.06580,-112.15390,2164,"03/02/1988","12/29/1999","-999","Unknown","-999","Hopi Point Fire Tower","-999","IMPROVE",1
"Houston Deer Park #2","HOUS1","IMPAER","US","TX","48201","482011039",29.66980,-95.12850,7,"03/01/2004","08/29/2005","-999","-999","-999","-999","STN","IMPROVE",2
"Ike's Backbone","IKBA1","IMPAER","US","AZ","04025","040258104",34.34050,-111.68320,1297,"03/29/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Indian Gardens","INGA1","IMPAER","US","AZ","04005","040058100",36.07780,-112.12880,1166,"09/02/1989","05/13/2013","-999","Unknown","-999","Indian Gardens picnic area, Grand Canyon NP, Ranger Station","NPS","IMPROVE",1
"Is 52","NEYO1","IMPAER","US","NY","36005","360050110",40.81610,-73.90190,45,"08/01/2004","06/07/2010","-999","-999","-999","-999","STN","IMPROVE",1
"Isle Royale NP","ISLE1","IMPAER","US","MI","26083","260839000",47.45960,-88.14910,182,"11/17/1999","10/30/2023","-999","Unknown","-999","Near the boat ramp on point opposite town of Eagle Harbor","NPS","IMPROVE",1
"Isle Royale NP","ISRO1","IMPAER","US","MI","26083","260839001",47.91670,-89.15000,213,"06/01/1988","12/29/1999","-999","Unknown","-999","Windigo Ranger Station","-999","IMPROVE",1
"James River Face Wilderness","JARI1","IMPAER","US","VA","51163","511639000",37.62660,-79.51250,289,"06/03/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Jarbidge Wilderness","JARB1","IMPAER","US","NV","32007","320079000",41.89260,-115.42610,1869,"03/02/1988","10/30/2023","-999","Unknown","-999","Mahoney Forest Service Station, Jarbidge, NV","USFS","IMPROVE",2
"Jefferson NF","JEFF1","IMPAER","US","VA","51163","511639001",37.61670,-79.48330,219,"09/03/1994","02/26/2000","-999","Unknown","-999","Arnold Valley - Puritan Tract, Natural Bridge, VA","-999","IMPROVE",1
"Joshua Tree NP","JOSH1","IMPAER","US","CA","06071","060719002",34.06957,-116.38895,1235,"02/23/2000","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",2
"Joshua Tree NP","JOTR1","IMPAER","US","CA","06071","060719002",34.06955,-116.38899,1228,"09/04/1991","12/29/1999","-999","Unknown","-999","Lost Horse Ranger Station","-999","IMPROVE",1
"Kaiser","KAIS1","IMPAER","US","CA","06019","060199000",37.22070,-119.15460,2597,"01/26/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Kalmiopsis","KALM1","IMPAER","US","OR","41033","410330010",42.55200,-124.05890,80,"03/11/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Kenai Peninsula Borough","KPBO1","IMPAER","US","AK","02122","-999",60.01232,-151.71149,5,"08/19/2015","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Lake Sugema","LASU1","IMPAER","US","IA","19177","191770006",40.68830,-91.98830,210,"05/08/2002","11/29/2004","-999","Unknown","-999","-999","STATE","IMPROVE",1
"Lake Sugema","LASU2","IMPAER","US","IA","-999","-999",40.69320,-92.00590,229,"12/02/2004","07/02/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Lake Tahoe Community College","LTCC1","IMPAER","US","CA","06017","-999",38.92480,-119.97990,1935,"02/19/2014","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Lassen Volcanic NP","LAVO1","IMPAER","US","CA","06089","060893003",40.53980,-121.57680,1732,"03/02/1988","10/30/2023","-999","Unknown","-999","Ranger station near NW entrance, Manzanita Lake, 25 yds SE of Fire Station","NPS","IMPROVE",2
"Lava Beds NM","LABE1","IMPAER","US","CA","06093","060930005",41.71170,-121.50680,1459,"03/29/2000","10/30/2023","-999","Unknown","-999","-999","NPS","IMPROVE",1
"Lawrenceville","PITT1","IMPAER","US","PA","42003","420030008",40.46540,-79.96070,268,"03/01/2004","10/30/2023","-999","-999","-999","-999","STN","IMPROVE",1
"Linville Gorge","LIGO1","IMPAER","US","NC","37011","370110002",35.97230,-81.93310,968,"04/01/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Livonia","LIVO1","IMPAER","US","IN","18175","181759000",38.53460,-86.26040,281,"03/08/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Londonderry","LOND1","IMPAER","US","NH","-999","-999",42.86240,-71.38010,124,"01/03/2011","10/30/2023","-999","-999","-999","-999","State of New Hampshire","IMPROVE",1
"Lone Peak Wilderness","LOPE1","IMPAER","US","UT","49049","490499000",40.44490,-111.70810,1768,"12/01/1993","08/29/2001","-999","Unknown","-999","Timpanogos Cave, NM","-999","IMPROVE",1
"Lostwood","LOST1","IMPAER","US","ND","38013","380130004",48.64190,-102.40220,696,"12/15/1999","10/30/2023","-999","Unknown","-999","Refuge Headquarters","FWS","IMPROVE",1
"Lye Brook Wilderness","LYBR1","IMPAER","US","VT","50003","500038001",43.14820,-73.12680,1015,"09/04/1991","09/30/2012","-999","Unknown","-999","Mount Equinox, at the windmills, Manchester, VT","USFS","IMPROVE",1
"Lye Brook Wilderness","LYEB1","IMPAER","US","VT","50025","500258001",42.95610,-72.90980,882,"01/01/2012","10/30/2023","-999","Unknown","-999","Mount Equinox, at the windmills, Manchester, VT","USFS","IMPROVE",1
"Lynden","LYND1","IMPAER","US","WA","53073","530730020",48.95330,-122.55860,28,"10/16/1996","12/29/1999","-999","Unknown","-999","FCC Monitoring Station W of Lyndon","-999","IMPROVE",1
"M.K. Goddard","MKGO1","IMPAER","US","PA","42085","420859000",41.42690,-80.14530,379,"04/04/2001","12/31/2010","-999","Unknown","-999","-999","EPA","IMPROVE",1
"Makah Tribe","MAKA1","IMPAER","US","WA","-999","-999",48.37185,-124.59500,-999,"09/02/2006","10/29/2010","-999","-999","-999","-999","-999","IMPROVE",1
"Makah Tribe Site #2","MAKA2","IMPAER","US","WA","-999","-999",48.29782,-124.62488,480,"11/01/2010","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"Mammoth Cave NP","MACA1","IMPAER","US","KY","21061","210619000",37.13180,-86.14790,235,"09/04/1991","10/30/2023","-999","Unknown","-999","Houchin Meadow ozone site off Alfred Cook Road","NPS","IMPROVE",2
"Martha's Vineyard","MAVI1","IMPAER","US","MA","25007","250070001",41.33090,-70.78460,2,"12/01/2002","10/30/2023","-999","Unknown","-999","-999","TRIBE","IMPROVE",1
"Mauna Loa Observatory #1","MALO1","IMPAER","US","HI","15001","150019000",19.53620,-155.57670,3439,"03/03/1988","01/01/2011","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #2","MALO2","IMPAER","US","HI","15001","150019001",19.53620,-155.57670,3439,"03/03/1988","01/01/2011","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #3","MALO3","IMPAER","US","HI","15001","150019003",19.53890,-155.57800,3400,"03/06/1996","02/26/2000","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Mauna Loa Observatory #4","MALO4","IMPAER","US","HI","15001","150019004",19.53890,-155.57800,3400,"03/02/1996","02/26/2000","-999","Unknown","-999","NOAA Global Monitoring Site","-999","IMPROVE",1
"Meadview","MEAD1","IMPAER","US","AZ","04015","040159000",36.01930,-114.06840,902,"09/04/1991","03/29/2021","-999","Unknown","-999","MOHAVE: DRI Trailer","STATE","IMPROVE",1
"Medicine Lake","MELA1","IMPAER","US","MT","30091","300919000",48.48710,-104.47570,606,"12/15/1999","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",2
"Mesa Verde NP","MEVE1","IMPAER","US","CO","08083","080839000",37.19840,-108.49070,2172,"03/02/1988","10/30/2023","-999","Unknown","-999","Resource  Management Research Area, Chapin Mesa","NPS","IMPROVE",2
"Mingo","MING1","IMPAER","US","MO","29207","292070001",36.97170,-90.14320,111,"06/03/2000","10/30/2023","-999","Unknown","-999","-999","FWS","IMPROVE",1
"Mohawk Mt.","MOMO1","IMPAER","US","CT","09005","090050005",41.82140,-73.29730,521,"09/13/2001","10/30/2023","-999","Unknown","-999","Observation Tower, 10 mi W of Torrington, CT, Mohawk Mountain","STATE","IMPROVE",1
"Monture","MONT1","IMPAER","US","MT","30077","300779000",47.12220,-113.15440,1282,"03/29/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Moosehorn NWR","MOOS1","IMPAER","US","ME","23029","230291004",45.12590,-67.26610,77,"12/03/1994","10/30/2023","-999","Unknown","-999","McConvey Rd, about 1 mi NE of NWR Baring Unit HQ","FWS","IMPROVE",1
"Mount Baldy","BALD1","IMPAER","US","AZ","04001","040018001",34.05840,-109.44060,2508,"03/01/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Mount Hood","MOHO1","IMPAER","US","OR","41005","410050010",45.28880,-121.78370,1531,"03/15/2000","10/30/2023","-999","Unknown","-999","-999","USFS","IMPROVE",1
"Mount Rainier NP","MORA1","IMPAER","US","WA","53053","530530014",46.75830,-122.12440,439,"03/02/1988","10/30/2023","-999","Unknown","-999","Park HQ, Tahoma Woods, Ashford, WA","NPS","IMPROVE",1
"Mount Zirkel Wilderness","MOZI1","IMPAER","US","CO","08057","080579000",40.53830,-106.67660,3243,"06/01/1994","10/30/2023","-999","Unknown","-999","Buffalo Pass, NE of Steamboat Springs, CO, DRI Storm Peak/ Mount Werner Facility","USFS","IMPROVE",1
"Nebraska NF","NEBR1","IMPAER","US","NE","31171","311719000",41.88880,-100.33870,883,"06/01/2002","10/30/2023","-999","-999","-999","-999","STATE","IMPROVE",1
"Nogales","NOGA1","IMPAER","US","AZ","04023","-999",31.33745,-110.93715,1172,"10/27/2015","10/30/2023","-999","-999","-999","-999","-999","IMPROVE",1
"North Absaroka","NOAB1","IMPAER","US","WY","56029","560299002",44.74480,-109.38160,2482,"01/26/2000","10/30/2023","-999","Unknown","-999","Dead Indian Summit, NW of Cody, WY","USFS","IMPROVE",1
"North Birmingham","BIRM1","IMPAER","US","AL","01073","010730023",33.55310,-86.81480,175,"03/01/2004","10/30/2023","-999","-999","-999","-999","STM","IMPROVE",1
"North Cascades","NOCA1","IMPAER","US","WA","53073","530730022",48.73160,-121.06460,568,"07/30/1997","10/30/2023","-999","Unknown","-999","Ross Dam","NPS","IMPROVE",1
